Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,MARKET_PRICE,MODEL_PRICE
185,/GDAX106000F0.EX,2020-05-15,2020-06-19,CALL,10600.0,279.4,30.19,0.09582477754962354,0.0,0.0
186,/GDAX106000R0.EX,2020-05-15,2020-06-19,PUT ,10600.0,562.6,30.19,0.09582477754962354,10037.4,10038.080569417087
290,/GDAX132000R0.EX,2020-05-15,2020-06-19,PUT ,13200.0,2886.0,30.21,0.09582477754962354,10314.0,10314.847501538261
292,/GDAX132500R0.EX,2020-05-05,2020-06-19,PUT ,13250.0,2936.0,30.45,0.12320328542094455,10314.0,10315.093782309492
311,/GDAX137500F0.EX,2020-03-24,2020-06-19,CALL,13750.0,0.5,30.45,0.23819301848049282,0.0,0.0
309,/GDAX137000F0.EX,2020-05-11,2020-06-19,CALL,13700.0,0.5,30.52,0.10677618069815195,0.0,0.021549885648455447
184,/GDAX105500R0.EX,2020-05-15,2020-06-19,PUT ,10550.0,537.6,30.67,0.09582477754962354,10012.4,10013.077359183988
183,/GDAX105500F0.EX,2020-05-15,2020-06-19,CALL,10550.0,304.4,30.68,0.09582477754962354,0.0,0.0
313,/GDAX138000F0.EX,2020-05-15,2020-06-19,CALL,13800.0,0.4,30.82,0.09582477754962354,0.0,0.003575383930134124
294,/GDAX133000R0.EX,2020-04-21,2020-06-19,PUT ,13300.0,2986.0,30.85,0.16153319644079397,10314.0,10315.439500208648
317,/GDAX139000F0.EX,2020-05-14,2020-06-19,CALL,13900.0,0.4,31.03,0.09856262833675565,0.0,0.0
182,/GDAX105000R0.EX,2020-05-15,2020-06-19,PUT ,10500.0,513.6,31.14,0.09582477754962354,9986.4,9987.07414895089
181,/GDAX105000F0.EX,2020-05-15,2020-06-19,CALL,10500.0,330.5,31.16,0.09582477754962354,0.0,0.0
315,/GDAX138500F0.EX,2020-04-27,2020-06-19,CALL,13850.0,0.4,31.18,0.14510609171800137,0.0,0.0
296,/GDAX133500R0.EX,2020-05-06,2020-06-19,PUT ,13350.0,3036.0,31.24,0.12046543463381246,10314.0,10315.07754656488
319,/GDAX139500F0.EX,2020-03-06,2020-06-19,CALL,13950.0,0.4,31.38,0.2874743326488706,0.0,0.0
298,/GDAX134000R0.EX,2020-05-13,2020-06-19,PUT ,13400.0,3086.0,31.46,0.10130047912388775,10314.0,10314.90950656593
180,/GDAX104500R0.EX,2020-05-15,2020-06-19,PUT ,10450.0,490.6,31.61,0.09582477754962354,9959.4,9960.070938717789
179,/GDAX104500F0.EX,2020-05-15,2020-06-19,CALL,10450.0,357.4,31.62,0.09582477754962354,0.0,0.0
321,/GDAX140000F0.EX,2020-05-15,2020-06-19,CALL,14000.0,0.4,31.73,0.09582477754962354,0.0,0.0
325,/GDAX141000F0.EX,2020-05-11,2020-06-19,CALL,14100.0,0.3,31.81,0.10677618069815195,0.0,0.0004867281294489989
300,/GDAX134500R0.EX,2020-04-17,2020-06-19,PUT ,13450.0,3136.0,31.84,0.17248459958932238,10314.0,10315.55443478635
323,/GDAX140500F0.EX,2020-03-13,2020-06-19,CALL,14050.0,0.3,32.08,0.2683093771389459,0.0,0.0
178,/GDAX104000R0.EX,2020-05-15,2020-06-19,PUT ,10400.0,468.6,32.09,0.09582477754962354,9931.4,9932.06772848469
177,/GDAX104000F0.EX,2020-05-15,2020-06-19,CALL,10400.0,385.5,32.11,0.09582477754962354,0.0,0.0
327,/GDAX141500F0.EX,2020-03-17,2020-06-19,CALL,14150.0,0.3,32.15,0.25735797399041754,0.0,0.0
302,/GDAX135000R0.EX,2020-05-13,2020-06-19,PUT ,13500.0,3186.0,32.22,0.10130047912388775,10314.0,10314.916293928363
329,/GDAX142000F0.EX,2020-05-11,2020-06-19,CALL,14200.0,0.3,32.49,0.10677618069815195,0.0,0.0
176,/GDAX103500R0.EX,2020-05-15,2020-06-19,PUT ,10350.0,447.6,32.56,0.09582477754962354,9902.4,9903.064518251591
175,/GDAX103500F0.EX,2020-05-14,2020-06-19,CALL,10350.0,414.5,32.57,0.09856262833675565,0.0,0.0
304,/GDAX135500R0.EX,2020-05-06,2020-06-19,PUT ,13550.0,3236.0,32.6,0.12046543463381246,10314.0,10315.093689584579
335,/GDAX143500F0.EX,2020-04-30,2020-06-19,CALL,14350.0,0.3,32.71,0.13689253935660506,0.0,0.0
331,/GDAX142500F0.EX,2020-05-08,2020-06-19,CALL,14250.0,0.3,32.82,0.11498973305954825,0.0,0.0
306,/GDAX136000R0.EX,2020-03-24,2020-06-19,PUT ,13600.0,3286.0,32.97,0.23819301848049282,10314.0,10316.17058798112
337,/GDAX144000F0.EX,2020-05-11,2020-06-19,CALL,14400.0,0.3,33.03,0.10677618069815195,0.0,0.0007332870217341414
174,/GDAX103000R0.EX,2020-05-15,2020-06-19,PUT ,10300.0,427.5,33.04,0.09582477754962354,9872.5,9873.16130801849
