Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE_x,IMP_VOLT,CF_CLOSE_y,DELTA,VEGA,THETA,GAMMA,DELTA_HEDGE,VEGA_HEDGE,THETA_HEDGE,GAMMA_HEDGE,Price_Change,Price_Change_Abs
119,/GDAX89500F0.EX,2020-04-06,2020-06-19,CALL,8950.0,1492.9,45.91,10075.17,1.0000002376727934,-0.0001818435521272,8.80311552530361,-9.094947017729282e-07,0.0,-0.0,0.0,-0.0,0.0,0.0
14,/GDAX44000R0.EX,2020-04-07,2020-06-19,PUT ,4400.0,1.2,92.7,10356.7,0.9999999934344888,-1.4331752576628395e-06,4.341758354712283,2.861546425963028e-13,281.5299981516123,-0.0004034818302898,1222.335229602152,8.056111653013729e-11,281.53000000000065,281.53000000000065
27,/GDAX55000F0.EX,2020-04-08,2020-06-19,CALL,5500.0,4825.0,85.14,10332.89,1.0000000473609338,0.0001906874088577,5.4453169838300255,-1.1700907110263539e-10,-23.810001127665146,-0.0045402672049021,-129.65299738500005,2.7859859829539014e-09,-23.81000000000131,23.81000000000131
49,/GDAX68000F0.EX,2020-04-08,2020-06-19,CALL,6800.0,3536.3,67.59,10332.89,0.9992922038236428,-0.0013119491086399,6.730252753958325,7.087669473548885,0.0,-0.0,0.0,0.0,0.0,0.0
314,/GDAX138000R0.EX,2020-04-09,2020-06-19,PUT ,13800.0,3486.1,34.44,10564.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.85000000000036,231.85000000000036
143,/GDAX95500F0.EX,2020-04-14,2020-06-19,CALL,9550.0,982.9,40.22,10696.56,0.9999995482336832,0.0003193786602003,9.648565575530029,-5.263939509997038e-11,131.81994044816383,0.0421004949876078,1271.8739141663657,-6.9389250620780804e-09,131.8199999999997,131.8199999999997
73,/GDAX78000F0.EX,2020-04-14,2020-06-19,CALL,7800.0,2562.2,57.39,10696.56,0.9999999765568646,-1.5731666280771606e-05,7.88068083608357,1.0459189070388676e-05,0.0,-0.0,0.0,0.0,0.0,0.0
303,/GDAX135500F0.EX,2020-04-15,2020-06-19,CALL,13550.0,0.6,29.78,10279.76,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-416.7999999999993,416.7999999999993
135,/GDAX93500F0.EX,2020-04-15,2020-06-19,CALL,9350.0,1147.1,42.14,10279.76,0.9999975715800248,-0.0001323037395195,9.479988122979876,-5.4569682106375694e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
349,/GDAX147000F0.EX,2020-04-16,2020-06-19,CALL,14700.0,0.2,34.96,10301.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.780000000000655,21.780000000000655
256,/GDAX123500R0.EX,2020-04-16,2020-06-19,PUT ,12350.0,2037.4,24.86,10301.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,/GDAX146000F0.EX,2020-04-16,2020-06-19,CALL,14600.0,0.2,34.32,10301.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,/GDAX155000F0.EX,2020-04-17,2020-06-19,CALL,15500.0,0.2,38.64,10625.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.2399999999998,324.2399999999998
300,/GDAX134500R0.EX,2020-04-17,2020-06-19,PUT ,13450.0,3136.0,31.84,10625.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,/GDAX90500F0.EX,2020-04-17,2020-06-19,CALL,9050.0,1404.7,44.95,10625.78,1.0000000005675247,-1.1693373380694538e-06,9.240268311824591,-4.547473508864641e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
357,/GDAX149000F0.EX,2020-04-20,2020-06-19,CALL,14900.0,0.2,35.09,10675.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.11999999999898,50.11999999999898
362,/GDAX150000R0.EX,2020-04-20,2020-06-19,PUT ,15000.0,4686.8,43.64,10675.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,/GDAX128500R0.EX,2020-04-21,2020-06-19,PUT ,12850.0,2536.2,27.83,10249.85,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-426.0499999999993,426.0499999999993
294,/GDAX133000R0.EX,2020-04-21,2020-06-19,PUT ,13300.0,2986.0,30.85,10249.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,/GDAX132500F0.EX,2020-04-21,2020-06-19,CALL,13250.0,0.8,28.61,10249.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,/GDAX81000F0.EX,2020-04-22,2020-06-19,CALL,8100.0,2275.4,54.33,10415.03,1.000000013825429,-3.944206267835558e-06,8.42103445420355,-1.2428307073444802e-12,165.18000228368464,-0.000651503991321,1390.986471145345,-2.0529077623916157e-10,165.1800000000003,165.1800000000003
89,/GDAX82000F0.EX,2020-04-22,2020-06-19,CALL,8200.0,2180.8,53.31,10415.03,1.0000002632295946,-0.0013743765521212,8.523809562777842,2.7284841053187847e-06,0.0,-0.0,0.0,0.0,0.0,0.0
361,/GDAX150000F0.EX,2020-04-23,2020-06-19,CALL,15000.0,0.2,35.7,10513.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.76000000000022,98.76000000000022
322,/GDAX140000R0.EX,2020-04-24,2020-06-19,PUT ,14000.0,3686.2,35.87,10336.09,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-177.70000000000073,177.70000000000073
341,/GDAX145000F0.EX,2020-04-24,2020-06-19,CALL,14500.0,0.3,33.68,10336.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,/GDAX146500F0.EX,2020-04-24,2020-06-19,CALL,14650.0,0.2,34.64,10336.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,/GDAX41000R0.EX,2020-04-27,2020-06-19,PUT ,4100.0,0.8,95.43,10659.99,1.0000000093496055,1.1074173039848092e-05,4.342122196005676,-4.2506883565434305e-14,323.90000302833687,0.0035869246476067,1406.4133792862367,-1.3767979586844154e-11,323.89999999999964,323.89999999999964
6,/GDAX40000R0.EX,2020-04-27,2020-06-19,PUT ,4000.0,0.7,97.84,10659.99,1.0000000125728548,0.0002243680228275,4.2362869425132885,-3.637978807091713e-06,0.0,0.0,0.0,-0.0,0.0,0.0
12,/GDAX43000R0.EX,2020-04-27,2020-06-19,PUT ,4300.0,1.0,93.82,10659.99,0.9999994450936356,0.0002959468929475,4.553059226626601,-1.8189894035458565e-06,0.0,0.0,0.0,-0.0,0.0,0.0
10,/GDAX42000R0.EX,2020-04-27,2020-06-19,PUT ,4200.0,0.9,94.76,10659.99,0.9999999596402632,0.0001018692728393,4.44768040108454,-1.3642420526593924e-06,0.0,0.0,0.0,-0.0,0.0,0.0
224,/GDAX115500R0.EX,2020-04-27,2020-06-19,PUT ,11550.0,1259.8,23.57,10659.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,/GDAX138500F0.EX,2020-04-27,2020-06-19,CALL,13850.0,0.4,31.18,10659.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,/GDAX131500F0.EX,2020-04-28,2020-06-19,CALL,13150.0,0.9,28.04,10795.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.63999999999942,135.63999999999942
274,/GDAX128000R0.EX,2020-04-29,2020-06-19,PUT ,12800.0,2486.3,27.51,11107.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.1100000000006,312.1100000000006
208,/GDAX111500R0.EX,2020-04-29,2020-06-19,PUT ,11150.0,918.0,25.78,11107.74,0.1360358681267826,23.18697294003869,-297.4568474955504,4.18367562815547e-05,0.0,0.0,-0.0,0.0,0.0,0.0
2,/GDAX20000R0.EX,2020-04-30,2020-06-19,PUT ,2000.0,0.1,150.5,10861.64,1.000000001033705,1.6575578006986963e-06,2.1424359486657067,-6.59823245760878e-14,-246.10000025439516,-0.0004079249747519,-527.2534869666312,1.6238250078175232e-11,-246.10000000000036,246.10000000000036
335,/GDAX143500F0.EX,2020-04-30,2020-06-19,CALL,14350.0,0.3,32.71,10861.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,/GDAX117500R0.EX,2020-04-30,2020-06-19,PUT ,11750.0,1448.3,23.35,10861.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,/GDAX87000F0.EX,2020-04-30,2020-06-19,CALL,8700.0,1717.3,48.32,10861.64,1.000000002386514,-7.670405466342345e-06,9.319868431568466,-2.7284841053187847e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
228,/GDAX116500R0.EX,2020-04-30,2020-06-19,PUT ,11650.0,1353.2,23.41,10861.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,/GDAX72000F0.EX,2020-04-30,2020-06-19,CALL,7200.0,3144.1,63.46,10861.64,1.00000025886402,-0.0008630782303953,7.712897631771966,-3.1377567211166024e-05,0.0,-0.0,0.0,-0.0,0.0,0.0
230,/GDAX117000R0.EX,2020-04-30,2020-06-19,PUT ,11700.0,1400.5,23.35,10861.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,/GDAX131500R0.EX,2020-04-30,2020-06-19,PUT ,13150.0,2836.0,29.8,10861.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,/GDAX81500R0.EX,2020-05-04,2020-06-19,PUT ,8150.0,59.4,53.52,10466.8,0.9999999937272428,2.7428277862483585e-06,8.868217761032042,-5.210534807261e-14,-394.8399975232646,-0.0010829781231223,-3501.527100765893,2.057327563298934e-11,-394.84000000000015,394.84000000000015
25,/GDAX52000F0.EX,2020-05-04,2020-06-19,CALL,5200.0,5124.0,90.57,10466.8,0.9999999315823516,-0.0005866014817001,5.658002630748683,-8.185452315956354e-06,0.0,-0.0,0.0,-0.0,0.0,0.0
40,/GDAX63000R0.EX,2020-05-04,2020-06-19,PUT ,6300.0,10.0,71.09,10466.8,1.000001146167051,6.448317435570061e-08,6.854727984138549,-1.091393642127514e-05,0.0,0.0,0.0,-0.0,0.0,0.0
