Unnamed: 0,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT,T,MODEL_PRICE,MARKET_PRICE
143,/GDAX95500F0.EX,2020-04-14,2020-06-19,CALL,9550.0,982.9,40.22,0.1806981519507187,0.0,0.0
346,/GDAX146000R0.EX,2020-03-12,2020-06-19,PUT ,14600.0,4286.5,40.6,0.27104722792607805,10316.15162474599,10313.5
348,/GDAX146500R0.EX,2020-01-20,2020-06-19,PUT ,14650.0,4336.5,40.93,0.4134154688569473,10317.558441579164,10313.5
367,/GDAX165000F0.EX,2020-02-12,2020-06-19,CALL,16500.0,0.1,42.11,0.35044490075290896,0.0,0.0
354,/GDAX148000R0.EX,2020-05-12,2020-06-19,PUT ,14800.0,4486.6,42.13,0.10403832991101986,10314.43168003596,10313.4
135,/GDAX93500F0.EX,2020-04-15,2020-06-19,CALL,9350.0,1147.1,42.14,0.17796030116358658,0.0,0.0
133,/GDAX93000F0.EX,2020-05-12,2020-06-19,CALL,9300.0,1189.3,42.6,0.10403832991101986,0.0,0.0
358,/GDAX149000R0.EX,2020-01-15,2020-06-19,PUT ,14900.0,4586.7,42.77,0.4271047227926078,10317.564396568749,10313.3
131,/GDAX92500F0.EX,2020-03-24,2020-06-19,CALL,9250.0,1231.7,43.07,0.23819301848049282,0.0,0.0
362,/GDAX150000R0.EX,2020-04-20,2020-06-19,PUT ,15000.0,4686.8,43.64,0.16427104722792607,10314.851014879645,10313.2
125,/GDAX91000F0.EX,2020-05-13,2020-06-19,CALL,9100.0,1361.0,44.49,0.10130047912388775,0.0,0.0
369,/GDAX170000F0.EX,2020-03-02,2020-06-19,CALL,17000.0,0.1,44.63,0.29842573579739906,0.0,0.0
123,/GDAX90500F0.EX,2020-04-17,2020-06-19,CALL,9050.0,1404.7,44.95,0.17248459958932238,0.0,0.0
120,/GDAX89500R0.EX,2020-05-06,2020-06-19,PUT ,8950.0,124.9,45.79,0.12046543463381246,8825.822400131512,8825.1
119,/GDAX89500F0.EX,2020-04-06,2020-06-19,CALL,8950.0,1492.9,45.91,0.2026009582477755,0.0,0.0
115,/GDAX88500F0.EX,2020-03-23,2020-06-19,CALL,8850.0,1582.0,46.87,0.24093086926762491,0.0,0.0
113,/GDAX88000F0.EX,2020-03-24,2020-06-19,CALL,8800.0,1626.9,47.35,0.23819301848049282,0.0,0.0
364,/GDAX155000R0.EX,2020-05-04,2020-06-19,PUT ,15500.0,5187.1,47.43,0.12594113620807665,10314.207953881685,10312.9
109,/GDAX87000F0.EX,2020-04-30,2020-06-19,CALL,8700.0,1717.3,48.32,0.13689253935660506,0.0,0.0
105,/GDAX86000F0.EX,2020-03-30,2020-06-19,CALL,8600.0,1808.6,49.29,0.22176591375770022,0.0,0.0
373,/GDAX180000F0.EX,2020-02-27,2020-06-19,CALL,18000.0,0.1,49.42,0.30937713894592744,0.0,0.0
101,/GDAX85000F0.EX,2020-05-04,2020-06-19,CALL,8500.0,1900.6,50.29,0.12594113620807665,0.0,0.0
366,/GDAX160000R0.EX,2020-02-28,2020-06-19,PUT ,16000.0,5687.5,51.09,0.3066392881587953,10315.787510864297,10312.5
97,/GDAX84000F0.EX,2020-05-11,2020-06-19,CALL,8400.0,1993.4,51.3,0.10677618069815195,0.0,0.0
375,/GDAX185000F0.EX,2020-02-28,2020-06-19,CALL,18500.0,0.1,51.7,0.3066392881587953,0.0,0.0
95,/GDAX83500F0.EX,2020-03-27,2020-06-19,CALL,8350.0,2040.0,51.81,0.2299794661190965,0.0,0.0
93,/GDAX83000F0.EX,2020-03-19,2020-06-19,CALL,8300.0,2086.8,52.32,0.2518822724161533,0.0,0.0
89,/GDAX82000F0.EX,2020-04-22,2020-06-19,CALL,8200.0,2180.8,53.31,0.15879534565366188,0.0,0.0
88,/GDAX81500R0.EX,2020-05-04,2020-06-19,PUT ,8150.0,59.4,53.52,0.12594113620807665,8091.2877305894035,8090.6
377,/GDAX190000F0.EX,2020-02-28,2020-06-19,CALL,19000.0,0.1,53.91,0.3066392881587953,0.0,0.0
85,/GDAX81000F0.EX,2020-04-22,2020-06-19,CALL,8100.0,2275.4,54.33,0.15879534565366188,0.0,0.0
73,/GDAX78000F0.EX,2020-04-14,2020-06-19,CALL,7800.0,2562.2,57.39,0.1806981519507187,0.0,0.0
65,/GDAX76000F0.EX,2020-03-16,2020-06-19,CALL,7600.0,2755.2,59.48,0.2600958247775496,0.0,0.0
59,/GDAX74000F0.EX,2020-03-19,2020-06-19,CALL,7400.0,2949.1,61.53,0.2518822724161533,0.0,0.0
55,/GDAX72000F0.EX,2020-04-30,2020-06-19,CALL,7200.0,3144.1,63.46,0.13689253935660506,0.0,0.0
48,/GDAX67000R0.EX,2020-05-11,2020-06-19,PUT ,6700.0,15.0,67.11,0.10677618069815195,6685.479335420787,6685.0
49,/GDAX68000F0.EX,2020-04-08,2020-06-19,CALL,6800.0,3536.3,67.59,0.1971252566735113,0.0,0.0
46,/GDAX66000R0.EX,2020-05-06,2020-06-19,PUT ,6600.0,13.6,68.11,0.12046543463381246,6586.9327196500535,6586.4
40,/GDAX63000R0.EX,2020-05-04,2020-06-19,PUT ,6300.0,10.0,71.09,0.12594113620807665,6290.531619964814,6290.0
